Gene	Ensembl_transcript_id
MED13	ENST00000397786
NIPBL	ENST00000282516
SMC3	ENST00000361804
CNOT1	ENST00000317147
RLF	ENST00000372771
PCF11	ENST00000298281
FNDC3B	ENST00000336824
TAF1	ENST00000276072
RSF1	ENST00000308488
NCKAP1	ENST00000360982
KDM2A	ENST00000529006
BRD4	ENST00000263377
HELZ	ENST00000358691
FBN1	ENST00000316623
XPO1	ENST00000401558
PRR12	ENST00000418929
USP9X	ENST00000324545
POLA1	ENST00000379059
SYNGAP1	ENST00000418600
PRKDC	ENST00000314191
HDAC4	ENST00000345617
SMG1	ENST00000446231
ZC3H4	ENST00000253048
COL5A1	ENST00000371817
SMARCA4	ENST00000429416
TNPO1	ENST00000337273
AGO1	ENST00000373204
ARHGAP35	ENST00000404338
LRP1	ENST00000243077
TOP1	ENST00000361337
TRIP12	ENST00000283943
KMT2E	ENST00000311117
HCFC1	ENST00000310441
UBTF	ENST00000302904
HUWE1	ENST00000342160
KDM3B	ENST00000314358
TRRAP	ENST00000359863
GRIN2B	ENST00000609686
USP7	ENST00000344836
ATP1A3	ENST00000545399
ASH1L	ENST00000392403
ANKRD17	ENST00000358602
SMC1A	ENST00000322213
NPEPPS	ENST00000322157
CHERP	ENST00000546361
MED13L	ENST00000281928
RPRD2	ENST00000369068
KMT2A	ENST00000534358
CREBBP	ENST00000262367
SF3B1	ENST00000335508
EIF3B	ENST00000360876
PPFIA1	ENST00000253925
ZSWIM6	ENST00000252744
PRPF3	ENST00000324862
KAT6A	ENST00000396930
KMT2B	ENST00000222270
SIN3A	ENST00000394947
CHD2	ENST00000394196
ARID1A	ENST00000324856
GLTSCR1L	ENST00000314073
SCN1A	ENST00000303395
MED12	ENST00000374080
TJP1	ENST00000346128
SPEN	ENST00000375759
WDFY3	ENST00000295888
HDAC6	ENST00000334136
EHMT1	ENST00000460843
JMJD1C	ENST00000399262
MAP3K12	ENST00000547035
GGNBP2	ENST00000304718
CASK	ENST00000378166
TLE3	ENST00000558939
CHD6	ENST00000373233
UBR5	ENST00000520539
EIF4G1	ENST00000424196
NBEA	ENST00000400445
SMARCA5	ENST00000283131
TSC2	ENST00000219476
SUPT5H	ENST00000599117
GREB1L	ENST00000580732
PTCH1	ENST00000331920
CHD7	ENST00000423902
RAD54L2	ENST00000409535
CNOT3	ENST00000406403
AHDC1	ENST00000374011
U2SURP	ENST00000473835
RBM25	ENST00000261973
GIGYF2	ENST00000409451
MBTD1	ENST00000586178
DCAF5	ENST00000341516
SUV420H1	ENST00000304363
RABGAP1	ENST00000373647
KHSRP	ENST00000398148
TM9SF2	ENST00000376387
MATR3	ENST00000394805
PHF21A	ENST00000418153
NAV1	ENST00000367296
HIVEP2	ENST00000367603
OGT	ENST00000373719
RBBP6	ENST00000319715
GTPBP4	ENST00000360803
MYBL1	ENST00000522677
TEX11	ENST00000395889
DYNC1H1	ENST00000360184
SBNO1	ENST00000420886
THOC2	ENST00000245838
PRKCB	ENST00000303531
INO80	ENST00000361937
TAF4	ENST00000252996
FLNA	ENST00000369850
TRIM28	ENST00000253024
CHD8	ENST00000399982
RBM33	ENST00000401878
SNRNP200	ENST00000323853
XPO6	ENST00000304658
SMARCAD1	ENST00000359052
FRMPD4	ENST00000380682
MACF1	ENST00000545844
WAC	ENST00000354911
BRWD3	ENST00000373275
C17orf104	ENST00000409122
ATP2B1	ENST00000428670
EIF4G2	ENST00000526148
ZNF462	ENST00000277225
WDR26	ENST00000414423
CUL4B	ENST00000404115
TRIM33	ENST00000358465
STXBP1	ENST00000373302
TOPBP1	ENST00000260810
NF2	ENST00000338641
TET3	ENST00000409262
MN1	ENST00000302326
SUPT6H	ENST00000314616
RP11-762I7.5	ENST00000546837
NHS	ENST00000380060
RPS6KA3	ENST00000379565
MYT1L	ENST00000428368
UBP1	ENST00000283629
PLCL2	ENST00000418129
SPTBN1	ENST00000356805
MYH9	ENST00000216181
ZDHHC5	ENST00000287169
LUC7L3	ENST00000505658
COPB2	ENST00000333188
DNAJC14	ENST00000357606
RNF17	ENST00000255324
ANK3	ENST00000280772
F8	ENST00000360256
TM9SF3	ENST00000371142
DLG3	ENST00000374360
MGA	ENST00000219905
ANKRD52	ENST00000267116
STAG2	ENST00000218089
SATB2	ENST00000417098
USP34	ENST00000398571
MAP3K2	ENST00000409947
PREX1	ENST00000371941
MED14	ENST00000324817
CYFIP2	ENST00000521420
ZNF407	ENST00000299687
KPNB1	ENST00000290158
ETV5	ENST00000306376
CUL2	ENST00000537177
HNRNPM	ENST00000325495
PIAS1	ENST00000249636
DAAM2	ENST00000398904
EFTUD2	ENST00000426333
YTHDC1	ENST00000344157
NCBP1	ENST00000375147
TCF20	ENST00000359486
DLL1	ENST00000366756
UBR4	ENST00000375254
STAT3	ENST00000264657
IGF2BP3	ENST00000258729
NSD1	ENST00000439151
SRCAP	ENST00000262518
ZNF777	ENST00000247930
HNRNPK	ENST00000376263
SCAF8	ENST00000367178
ARID2	ENST00000334344
CCT3	ENST00000295688
COL5A2	ENST00000374866
PHC3	ENST00000495893
GATAD2B	ENST00000368655
FBXO11	ENST00000403359
NOTCH1	ENST00000277541
COL3A1	ENST00000304636
PPP3CB	ENST00000394829
ILF3	ENST00000449870
PLEKHA5	ENST00000429027
ZNF521	ENST00000361524
TAB2	ENST00000367456
CTNND2	ENST00000304623
DDX5	ENST00000225792
ACTN4	ENST00000252699
UPF2	ENST00000356352
