Supplementary_Table.Sample	Supplementary_Table.count_ind	Supplementary_Table.count_syn_per_ind	Supplementary_Table.count_lof_per_ind	Supplementary_Table.prob_highly_del	Supplementary_Table.prob_causal
Developmental Disorders (2,623 DNMs in 23,902 trios)	23902	0.376704878252866	0.109739770730483	0.49531812480153	0.599687294418215
Congenital Heart Disease (192 DNMs in 1,785 trios)	1785	0.392717086834734	0.107563025210084	0.358210073819974	0.446464091451969
Severe epilepsy (58 DNMs in 406 trios)	406	0.352216748768473	0.142857142857143	0.457121278509605	0.566237346663287
Autism (560 DNMs in 5,297 trios)	5297	0.352841230885407	0.105720218991882	0.348980124232806	0.431823978231145
Schizophrenia (263 DNMs in 2,381 trios)	2381	0.244855102897942	0.110457790844183	0.27703848671847	0.284279447914782
Tourette Syndrome/OCD (62 DNMs in 436 trios)	436	0.389908256880734	0.142201834862385	0.245812321214076	0.193359642496057
DDD (445 DNMs in 4,336 affected males)	4336	0.40659594095941	0.102629151291513	0.486161175826901	0.592147319609093
DDD (462 DNMs in 3,411 affected females)	3411	0.387276458516564	0.135444151275286	0.519700055517119	0.618468121067066
Simons Simplex (117 DNMs in 1,623 affected males)	1623	0.253234750462107	0.0720887245841035	0.347341231479171	0.429143099946408
Simons Simplex (21 DNMs in 249 affected females)	249	0.236947791164659	0.0843373493975904	0.575378985665102	0.65538863322616
MSSNG Simplex (38 DNMs in 531 affected males)	531	0.32015065913371	0.0715630885122411	0.401427536160386	0.506057455451249
MSSNG Simplex (7 DNMs in 153 affected females)	153	0.26797385620915	0.0457516339869281	0.584788982338335	0.660933867341094
SPARK (76 DNMs in 279 affected males)	279	0.46594982078853	0.272401433691756	0.290705168177564	0.317927025838477
SPARK (12 DNMs in 68 affected females)	68	0.441176470588235	0.176470588235294	0.474992390123217	0.582557230839928
MSSNG Multiplex (35 DNMs in 491 affected males)	491	0.364562118126273	0.0712830957230143	0.194610535505914	-0.0188664151585494
MSSNG Multiplex (15 DNMs in 175 affected females)	175	0.382857142857143	0.0857142857142857	0.128324344962786	-0.545163848064041
