Gene	U	n_NFE	k_NFE	s_het_det	low_det	up_det	s_het_drift	low_drift	up_drift
A1BG	1.e-6	57612.75	2	0.039562	0.01	0.136	0.028927	0.000889	0.281171
A1CF	1.9e-6	66258.5714	7	0.020096	0.01	0.041	0.013627	0.000889	0.088914
A2M	3.98e-6	55288.75	19	0.012169	0.008	0.019	0.009977	0.000889	0.028117
A3GALT2	7.35e-7	49804.4444	5	0.009274	0.004	0.021	0.007549	0.000889	0.028117
A4GALT	4.22e-7	64241	0	0.173571	0.011	1.	0.116455	0.000889	1.
AAAS	1.97e-6	66471.5556	31	0.004465	0.00308	0.00622	0.004235	0.000889	0.028117
AACS	1.61e-6	66500.1	18	0.006415	0.004	0.01	0.00522	0.000889	0.028117
AADAC	7.2e-7	65738.8571	4	0.014927	0.006	0.037	0.010246	0.000889	0.088914
AADACL2	1.13e-6	66668.3077	10	0.008473	0.005	0.016	0.006729	0.000889	0.028117
AADACL3	4.65e-7	66685.6667	3	0.014358	0.005	0.04	0.011142	0.000889	0.088914
AADACL4	6.11e-7	66415.6667	4	0.013021	0.005	0.032	0.009494	0.000889	0.028117
AADAT	1.02e-6	66437.3333	2	0.045618	0.011	0.157	0.033747	0.000889	0.281171
AAED1	4.52e-7	45047.4545	23	0.001138	0.00068	0.00154	0.004034	0.000889	0.028117
AAGAB	1.04e-6	62069	7	0.010716	0.005	0.022	0.007886	0.000889	0.028117
AAK1	2.48e-6	42384	1	0.130714	0.023	0.582	0.117865	0.008891	0.88914
AAMDC	3.47e-7	66662.8	4	0.00808	0.003	0.019	0.007534	0.000889	0.028117
AAMP	9.95e-7	64922.6667	2	0.043736	0.011	0.15	0.032905	0.000889	0.281171
AANAT	3.93e-7	61021.3333	1	0.043161	0.006	0.198	0.029205	0.000889	0.281171
AAR2	5.35e-7	66561.6667	6	0.007415	0.004	0.016	0.006812	0.000889	0.028117
AARD	3.57e-7	62548	7	0.004239	0.00182	0.00796	0.005906	0.000889	0.028117
AARS	2.94e-6	65889.4667	9	0.023329	0.012	0.044	0.016665	0.002812	0.088914
AARS2	3.18e-6	65059.2941	13	0.016944	0.01	0.029	0.012843	0.000889	0.028117
AARSD1	1.05e-6	61125.2727	11	0.006607	0.004	0.012	0.005736	0.000889	0.028117
AASDH	2.14e-6	66289.4545	6	0.026578	0.012	0.058	0.0197	0.000889	0.088914
AASDHPPT	8.99e-7	66449	2	0.040836	0.01	0.14	0.029682	0.000889	0.281171
AASS	1.96e-6	65150.5333	14	0.009839	0.006	0.017	0.007507	0.000889	0.028117
AATF	1.61e-6	65370.6667	17	0.006693	0.005	0.011	0.005383	0.000889	0.028117
ABAT	1.42e-6	66273.6	5	0.021932	0.009	0.051	0.014598	0.000889	0.088914
ABCA1	5.82e-6	63787.3	16	0.024246	0.015	0.04	0.017458	0.008891	0.088914
ABCA12	6.72e-6	66105.1429	26	0.017613	0.012	0.026	0.01525	0.002812	0.028117
ABCA2	5.41e-6	57806.8	1	0.293236	0.064	1.	0.258261	0.028117	0.88914
ABCA3	3.57e-6	62491.2632	10	0.023963	0.013	0.044	0.018093	0.002812	0.088914
ABCA4	5.98e-6	63940.7273	56	0.006983	0.006	0.01	0.004528	0.000889	0.028117
