Gene	log10_ci_low	log10_ci_high	log10_map
A1BG	-5.66477668	-1.19791949	-1.80594829
A1CF	-4.92140366	-1.40862021	-1.94979851
A2M	-3.78617898	-1.46751155	-2.02450338
A2ML1	-5.78552236	-2.03124975	-2.85996193
A3GALT2	-6.14192683	-2.0043369	-3.24779299
A4GALT	-3.05479009	-0.0028025	-0.82343194
A4GNT	-6.14848488	-2.41240834	-3.82757395
AAAS	-6.11973231	-2.16031371	-3.51192772
AACS	-6.10153742	-2.12528788	-3.4661638
AADAC	-5.54224653	-0.63654705	-1.50015605
AADACL2	-6.18144475	-2.29537474	-3.61649799
AADACL3	-6.20799292	-0.80981956	-1.73283077
AADACL4	-2.92535235	-0.00249305	-0.82834966
AADAT	-1.85676996	-0.56360539	-1.2385871
AAED1	-6.13855345	-2.02607948	-3.45885676
AAGAB	-6.11466503	-2.00012421	-2.97462072
AAK1	-1.01888606	-0.06577832	-0.47495875
AAMDC	-6.18468489	-1.96206562	-3.62900385
AAMP	-1.55936123	-0.32654145	-0.95798573
AANAT	-3.38411432	-0.00643515	-0.83541826
AAR2	-6.18774999	-2.1737733	-3.4590145
AARD	-6.20736766	-2.35101714	-3.86567024
AARS	-2.13449406	-1.43073379	-1.70797268
AARS2	-5.66672394	-1.66715935	-2.38926091
AARSD1	-6.15154604	-2.16565893	-3.20403362
AASDH	-3.38110065	-1.24617826	-1.83139132
AASDHPPT	-4.88906858	-0.49704589	-1.44480589
AASS	-5.93949365	-1.72230834	-2.44325125
AATF	-6.0371477	-2.07678755	-3.26941835
AATK	-2.2585012	-1.23295227	-1.63463369
ABAT	-3.37071909	-1.10090906	-1.67512427
ABCA1	-1.79101215	-1.3149703	-1.5379403
ABCA10	-6.23803241	-3.23256023	-4.76971763
ABCA12	-2.07020009	-1.52244116	-1.75136958
ABCA13	-4.4613338	-1.94101714	-2.80731461
ABCA2	-1.35619671	-0.73277351	-1.07459544
ABCA3	-1.8447393	-1.2634219	-1.52486664
ABCA4	-4.49887475	-1.70560263	-2.64618424
ABCA5	-4.63323472	-1.47157311	-2.13913802
ABCA6	-5.99867603	-2.0172683	-3.25777043
ABCA7	-5.59117156	-1.86894499	-2.7191499
ABCA8	-5.84466795	-1.90977917	-2.74847485
ABCA9	-5.76667088	-2.14840031	-3.13529073
ABCB1	-1.77605085	-1.2043661	-1.47771537
ABCB10	-5.61342791	-1.40555581	-1.98054454
ABCB11	-1.99207448	-1.35183969	-1.62190923
ABCB4	-1.72746228	-1.15184876	-1.43324272
ABCB5	-6.08540917	-2.58441324	-3.53243574
ABCB6	-6.11295647	-2.13825449	-3.42569375
ABCB8	-5.58727655	-1.41728852	-2.11146013
ABCB9	-4.25365545	-1.05641063	-1.68742994
ABCC1	-1.9706179	-1.38284043	-1.63966071
ABCC10	-5.83912852	-1.87940467	-2.7092455
ABCC11	-6.06206218	-2.89198915	-4.82805422
ABCC12	-6.11598815	-2.81172369	-4.63791985
ABCC2	-5.82779021	-1.94113143	-2.85234354
ABCC3	-5.93439037	-1.94201754	-2.73557539
ABCC4	-1.92856599	-1.32530272	-1.60851288
ABCC5	-1.57210024	-1.00044007	-1.31387437
ABCC6	-5.99789562	-2.19764377	-3.45718391
ABCC8	-5.37752644	-1.79353347	-2.52017317
ABCC9	-2.66611245	-1.52047219	-1.89783504
ABCD2	-5.64390607	-1.4395675	-2.01048632
ABCD3	-1.76071847	-1.11938318	-1.43691262
ABCD4	-5.76466572	-1.64574206	-2.23269891
ABCE1	-1.00444625	-0.06447399	-0.48108219
