Gene	s_log10_ci_low	s_log10_ci_high	s_log10_map	hs_log10_ci_low	hs_log10_ci_high	hs_log10_map	avg_hs_log10_ci_low	avg_hs_log10_ci_high	avg_hs_log10_map
ABCB7	-5.70183207	-2.19870763	-3.01915295	-6.24123673	-2.37666337	-3.44605037	-5.86273822	-2.31520617	-3.16373053
ABCD1	-1.07921977	-1.004e-05	-0.27488835	-1.62189507	-0.07657523	-0.67457984	-1.21498057	-0.05832955	-0.49095954
ACE2	-1.14499307	-0.04866027	-0.59682667	-1.72295352	-0.2513298	-0.95294195	-1.26658595	-0.20514624	-0.7621018
ACOT9	-5.79815585	-1.85257404	-2.73815939	-6.26548383	-2.0948492	-3.2219155	-5.93556156	-1.9709094	-2.82238375
ACRC	-1.83848827	-0.31802948	-1.10332139	-2.42772162	-0.61193667	-1.43477905	-1.94312319	-0.48447602	-1.20172804
ACSL4	-1.4115866	-0.25684059	-0.86215864	-2.00008704	-0.50515476	-1.1750753	-1.50016798	-0.42455897	-1.02806996
ACTRT1	-3.81764873	-1.818e-05	-0.54007909	-4.92764141	-0.01154263	-0.97800517	-3.99501152	-0.00608429	-0.67404638
AF196779.12	-1.24557729	-1.287e-05	-0.43907139	-1.79260855	-0.08495392	-0.7643434	-1.37470814	-0.05722864	-0.58520731
AFF2	-1.26623583	-0.18299241	-0.77119092	-1.84589293	-0.42262317	-1.07544525	-1.35229487	-0.35455969	-0.90079703
AGTR2	-5.86464391	-1.87737634	-2.89730566	-6.33617266	-2.06492014	-3.24214383	-6.00588919	-1.98222384	-3.02324739
AIFM1	-0.87968071	-4.571e-05	-0.19109044	-1.38420329	-0.05897525	-0.56342879	-0.99857488	-0.05022568	-0.32961994
AKAP14	-1.50391918	-1.354e-05	-0.45298273	-2.08686052	-0.05148616	-0.89043975	-1.62376386	-0.02704569	-0.56375768
AKAP4	-1.07625781	-7.72e-06	-0.35909492	-1.61229437	-0.0722763	-0.66225162	-1.20695615	-0.05418383	-0.48948442
ALAS2	-1.13239703	-6.611e-05	-0.38744247	-1.6750723	-0.08021662	-0.73896135	-1.26752537	-0.05930714	-0.53074222
ALG13	-1.09374674	-0.0392739	-0.54519538	-1.67601274	-0.23073076	-0.89887751	-1.21676805	-0.19373593	-0.72636893
AMELX	-2.27154164	-2.544e-05	-0.50374076	-2.81793476	-0.00232541	-0.88627636	-2.36158917	-0.00124438	-0.64914132
AMER1	-1.28183319	-0.19007066	-0.74994888	-1.86889502	-0.43251187	-1.10183425	-1.37353428	-0.3648768	-0.91712818
AMMECR1	-4.02115889	-0.00262949	-1.07983528	-4.73611769	-0.3069505	-1.4426344	-4.18349712	-0.15060828	-1.21847474
AMOT	-1.45218568	-0.40576546	-0.96310221	-2.03678559	-0.67897066	-1.27516859	-1.53628783	-0.59272843	-1.0847589
AP1S2	-2.19250065	-3.358e-05	-0.49684878	-2.76539442	-0.00653997	-0.88536861	-2.28591227	-0.00347309	-0.66093172
APEX2	-1.36621111	-4.69e-06	-0.40809232	-1.93573067	-0.07240451	-0.84795878	-1.49486513	-0.04572883	-0.55164638
APLN	-5.52444965	-0.07443613	-0.81614684	-6.11700535	-0.2860687	-1.33578109	-5.74249634	-0.18643979	-0.94351506
APOO	-1.25677916	-1.934e-05	-0.28710855	-1.81709831	-0.08087729	-0.7946008	-1.39406681	-0.06148596	-0.56120378
APOOL	-5.85133173	-1.92518045	-3.25719814	-6.32585722	-2.13876797	-3.35596297	-5.9884718	-2.03091069	-3.34060114
AR	-2.13352257	-0.79739052	-1.35870373	-2.70988909	-1.14062383	-1.67682589	-2.24105813	-0.99578489	-1.47569403
ARAF	-1.48811824	-0.27427786	-0.91584507	-2.06432313	-0.5295801	-1.25656364	-1.56975009	-0.43848603	-1.05080359
ARHGAP36	-1.18706095	-1.857e-05	-0.36250078	-1.74008001	-0.07953133	-0.72684339	-1.31920162	-0.05800703	-0.50559033
ARHGAP4	-1.54533847	-0.4548795	-1.01359523	-2.15647906	-0.74297425	-1.3531354	-1.62784231	-0.62652794	-1.14772292
ARHGAP6	-1.23176318	-0.0625219	-0.66879516	-1.82085416	-0.2788112	-1.01311737	-1.35419259	-0.22187592	-0.78164601
ARHGEF6	-0.82885087	-1.154e-05	-0.14970856	-1.3377451	-0.05425373	-0.56007412	-0.94682231	-0.04652734	-0.32035711
ARHGEF9	-1.06443959	-2.28e-06	-0.32278593	-1.5910778	-0.07807425	-0.79133406	-1.19673306	-0.06007762	-0.47967426
ARL13A	-5.65334616	-1.00237433	-1.64396872	-6.09975371	-1.30098576	-2.00148312	-5.79662478	-1.14673552	-1.76558033
ARMCX1	-4.16579655	-0.00062978	-1.02902157	-4.85934743	-0.26407682	-1.39706085	-4.67229936	-0.12226699	-1.15886502
ARMCX2	-2.63989963	-9.344e-05	-0.52181797	-3.12037279	-0.00463318	-0.91752504	-2.73032217	-0.0028257	-0.66312317
ARMCX3	-5.04282656	-5.643e-05	-0.58449933	-5.20834436	-0.0044606	-0.97700256	-4.70442369	-0.00279194	-0.71054202
ARMCX5	-3.7121656	-0.00046483	-0.99976889	-4.40071226	-0.21874817	-1.37821822	-3.88717539	-0.09534711	-1.14269306
ARMCX6	-3.88732282	-2.954e-05	-0.54369853	-4.33799726	-0.00628771	-0.99499034	-4.16394377	-0.00374155	-0.70232187
ARR3	-1.6746981	-0.32107859	-1.05114747	-2.26183135	-0.60350746	-1.37906835	-1.77185635	-0.48804163	-1.17659628
ARSD	-1.93622112	-0.31364184	-1.13212164	-2.53392385	-0.59899242	-1.43139312	-2.03586695	-0.46863867	-1.2294291
ARSE	-1.4696723	-0.09479681	-0.84581954	-2.05080014	-0.32742369	-1.22242298	-1.58212557	-0.2514822	-0.9571876
ARSF	-5.77803158	-1.82232786	-2.68830103	-6.24991058	-2.06364427	-3.04373203	-5.91633416	-1.945557	-2.82280314
ARSH	-5.84098883	-1.90271051	-2.7751844	-6.32632291	-2.11145941	-3.27218438	-5.98748304	-2.01862841	-2.961823
ARX	-2.95957411	-8.18e-06	-0.55282823	-3.75745962	-0.00895716	-0.93598642	-2.9803969	-0.00490464	-0.71550124
ASB11	-5.80198681	-1.77939016	-4.22895378	-6.36540658	-1.94922396	-4.655453	-5.96268231	-1.89048558	-4.46683625
ASB12	-5.80220206	-1.35896155	-2.04432414	-6.27793022	-1.59628012	-2.49964379	-5.94666709	-1.47783775	-2.19020254
ASB9	-2.68873771	-4.281e-05	-0.52554409	-3.1421654	-0.01288359	-0.90562727	-2.77885655	-0.00808583	-0.66132298
ATG4A	-1.10966187	-1.56e-05	-0.32282179	-1.66100049	-0.07799918	-0.75080456	-1.24184721	-0.05852902	-0.47447942
ATP11C	-0.98591869	-0.02002679	-0.42099164	-1.56391279	-0.2001564	-0.78837249	-1.11300234	-0.16796367	-0.6139634
ATP1B4	-5.64822388	-1.35665397	-1.89911332	-6.11720497	-1.65942545	-2.24766174	-5.78921237	-1.50118147	-2.01459262
ATP2B3	-1.09691861	-0.03681546	-0.62097686	-1.67114797	-0.23275879	-0.88517747	-1.21770071	-0.19397967	-0.67996047
ATP6AP1	-1.19138542	-2.106e-05	-0.36926036	-1.74949749	-0.08137742	-0.7571177	-1.32560941	-0.05926452	-0.48171159
ATP6AP2	-1.31113449	-4.4e-07	-0.3634126	-1.87717795	-0.08135728	-0.79597325	-1.43889635	-0.05220035	-0.59803844
ATP7A	-0.76455021	-8.14e-06	-0.12160755	-1.25081388	-0.04927167	-0.49778628	-0.87560153	-0.04203426	-0.297769
ATRX	-1.16821896	-0.34908969	-0.80137332	-1.80609747	-0.63093202	-1.08155235	-1.23380197	-0.55151746	-0.90544548
AVPR2	-4.08668943	-0.00015028	-0.58822787	-5.00956117	-0.00689026	-1.01814709	-4.17879349	-0.00442396	-0.74995865
AWAT1	-1.31253573	-1.589e-05	-0.38118603	-1.88671188	-0.07848071	-0.78495928	-1.43932011	-0.05100511	-0.59050576
AWAT2	-1.33156945	-7.324e-05	-0.37212654	-1.89604572	-0.07667809	-0.87594609	-1.4630868	-0.04862944	-0.51321712
BCAP31	-1.71509823	-1.65e-06	-0.46535653	-2.31983622	-0.0161249	-0.86956251	-1.81526043	-0.00428679	-0.60515319
BCOR	-0.7522708	-2.15e-06	-0.08746831	-1.22583543	-0.04250996	-0.47175547	-0.86176981	-0.03513059	-0.30007584
BCORL1	-0.75574966	-2.665e-05	-0.17165187	-1.24233715	-0.04580763	-0.4954018	-0.86969957	-0.0383273	-0.30326461
BEND2	-1.60476699	-0.30652972	-0.98604785	-2.19155588	-0.57560833	-1.34621561	-1.70067385	-0.47123448	-1.1343029
BEX1	-5.39388007	-9.97e-05	-0.79824477	-5.99331751	-0.19856866	-1.21286244	-5.62133492	-0.09339388	-0.94151348
BEX2	-3.67838937	-8.241e-05	-0.57012998	-4.85280187	-0.00548657	-0.94601043	-4.66242557	-0.00327902	-0.67377199
BEX4	-4.24223924	-7.162e-05	-0.55073761	-4.65239928	-0.00271781	-0.97363435	-4.40954924	-0.00175689	-0.69382928
BEX5	-5.87127816	-0.9911991	-3.28664814	-6.36129608	-1.17676452	-3.96736004	-6.02459711	-1.09059372	-3.43354463
BGN	-3.7493232	-0.00017013	-1.01121813	-4.51651807	-0.2243862	-1.37663637	-3.91890559	-0.0964359	-1.146941
BHLHB9	-1.89534823	-0.0001051	-0.47631492	-2.48046365	-0.01015358	-0.87679207	-1.99154603	-0.00599828	-0.59372876
BMP15	-5.82594455	-1.77052907	-2.75878183	-6.29167081	-2.00270466	-3.10785583	-5.9620798	-1.88312476	-2.79654593
BMX	-1.49215309	-0.28105884	-0.93522654	-2.06564626	-0.53338449	-1.29206608	-1.58243752	-0.44510177	-1.11624746
BRCC3	-4.92708627	-0.53459291	-1.40672736	-5.31173911	-0.90698351	-1.7460637	-5.08537423	-0.7157395	-1.5397504
BRS3	-1.3475762	-3.898e-05	-0.44604645	-1.92019999	-0.07271407	-0.84388189	-1.47772908	-0.04680749	-0.60140451
BRWD3	-0.94824718	-0.0635575	-0.52921321	-1.52008938	-0.28373315	-0.82475247	-1.04192027	-0.23293534	-0.65520641
BTK	-0.89034706	-3.7e-07	-0.25602451	-1.39502104	-0.05837535	-0.57490663	-1.0111441	-0.04736893	-0.33882911
C1GALT1C1	-2.90244847	-5.409e-05	-0.5903716	-3.67289022	-0.00453926	-0.98243525	-3.02402251	-0.00338118	-0.73858018
CA5B	-5.8290638	-1.70106871	-2.66811996	-6.30176808	-1.91753213	-2.99495893	-5.96394614	-1.80893125	-2.74460896
CACNA1F	-1.50913843	-0.75971301	-1.18465488	-2.1577028	-1.05486194	-1.44226498	-1.5731429	-0.96795818	-1.27814163
CAPN6	-1.2588568	-0.07110136	-0.65843081	-1.84955069	-0.2946032	-1.02529185	-1.37424808	-0.22692639	-0.84718005
CASK	-0.78596787	-2.31e-06	-0.18803099	-1.27550054	-0.04943441	-0.51290218	-0.89922151	-0.04300841	-0.30087448
CCDC120	-5.02906542	-0.66158559	-1.48085965	-5.46765074	-1.01653528	-1.84112756	-5.17044724	-0.82902007	-1.60020778
CCDC160	-5.85993017	-1.62360253	-2.64795141	-6.33698089	-1.82816392	-3.55494489	-6.00063804	-1.72937089	-2.70899383
CCDC22	-0.97573018	-1.377e-05	-0.25442918	-1.4968144	-0.07036851	-0.69363984	-1.10136682	-0.05766139	-0.37777029
CCNB3	-1.51356014	-0.43972361	-1.0080144	-2.12606291	-0.72396031	-1.32849424	-1.59410134	-0.61483468	-1.17286982
CD40LG	-5.51916795	-0.54714602	-1.38039903	-5.9956262	-0.86971391	-1.72071313	-5.67679845	-0.69333895	-1.50627977
CD99L2	-1.78698358	-0.32378934	-1.07737598	-2.38818982	-0.60046129	-1.43749026	-1.88256252	-0.48255479	-1.211577
CDK16	-0.89873502	-1.345e-05	-0.19278657	-1.42069425	-0.06082596	-0.63131696	-1.02302811	-0.05055591	-0.36762267
CDKL5	-1.7564152	-0.80430895	-1.27241129	-2.3716623	-1.09684979	-1.56150108	-1.82727991	-0.98971857	-1.37299568
CDX4	-5.88615131	-1.98909077	-3.6034743	-6.37566928	-2.16273122	-4.27521443	-6.02778866	-2.08945038	-3.81859954
CENPI	-2.28871269	-0.7909551	-1.38226567	-2.84257187	-1.1346188	-1.70393649	-2.39749248	-0.98582382	-1.50096904
CETN2	-2.77240635	-6.241e-05	-0.54372986	-3.56888279	-0.01229625	-0.93971887	-2.90907958	-0.00795653	-0.67816583
CFP	-1.84113429	-0.55112241	-1.21516912	-2.46451641	-0.87085481	-1.53397085	-1.93778041	-0.72535515	-1.32218063
CHDC2	-5.65916279	-1.34681099	-2.05115113	-6.12791543	-1.63483243	-2.45662267	-5.7988626	-1.48201237	-2.17533274
CHIC1	-4.68417744	-3.126e-05	-0.60730207	-5.03240487	-0.00826035	-1.07238538	-4.808437	-0.00702869	-0.77633814
CHM	-0.94900098	-5.96e-06	-0.27053921	-1.47149769	-0.06041108	-0.65804777	-1.07084963	-0.0500432	-0.35333125
CHRDL1	-1.29847402	-0.07553578	-0.70798668	-1.87819373	-0.29642592	-1.05272572	-1.41236572	-0.2301637	-0.79776372
CHST7	-2.71602178	-2.253e-05	-0.50867257	-3.48424383	-0.00475191	-0.95077403	-3.16622749	-0.00307333	-0.65101144
CITED1	-5.88254717	-1.90753471	-3.06927146	-6.3698491	-2.09884202	-4.62457854	-6.02154788	-2.00539174	-3.12870759
CLCN4	-1.09135506	-2.191e-05	-0.29658966	-1.63339429	-0.08362863	-0.77379925	-1.22749412	-0.05922128	-0.41863064
CLCN5	-5.75441574	-2.00336095	-3.0246258	-6.20335537	-2.25518834	-3.4074431	-5.89656676	-2.12996376	-3.184516
CLDN2	-5.07214647	-9.27e-06	-0.58211683	-5.24980889	-0.00753091	-1.04504729	-5.21557918	-0.00392379	-0.74080909
CLIC2	-5.33043175	-0.19977905	-1.22926923	-5.82622744	-0.52308792	-1.5912304	-5.50496089	-0.34317851	-1.35232665
CMC4	-5.46701846	-0.01922501	-0.76576114	-6.07453661	-0.23210889	-1.25617079	-5.70651251	-0.13024556	-0.91159325
CNGA2	-5.54141182	-1.36844536	-2.04929778	-5.99598526	-1.69391204	-2.4595758	-5.67816429	-1.52282301	-2.10708918
CNKSR2	-0.78470762	-1.349e-05	-0.11122998	-1.27510459	-0.04627087	-0.48685526	-0.89735036	-0.03697769	-0.31095948
COL4A5	-1.09985399	-0.11329699	-0.66967108	-1.68392232	-0.34557729	-0.93540954	-1.18441109	-0.28308766	-0.74580594
COL4A6	-1.38061624	-0.51969126	-0.98993494	-2.01565188	-0.79579569	-1.30240263	-1.45689436	-0.72134128	-1.13217855
COX7B	-4.99652982	-2.658e-05	-0.61933854	-5.45873185	-0.03477568	-1.05639791	-5.13902975	-0.00141011	-0.75223667
CSTF2	-0.95288432	-9.1e-06	-0.19554808	-1.4734648	-0.06964255	-0.62891178	-1.07758219	-0.0530193	-0.40318997
CT45A1	-5.69872617	-0.23652078	-1.11628271	-6.23240321	-0.41671674	-2.14612739	-5.87860759	-0.33047553	-1.30931186
CT45A5	-5.89055336	-2.13351362	-4.74543834	-6.50163401	-2.26456441	-5.07044606	-6.05091392	-2.22040166	-4.86476391
CT47B1	-5.89255598	-2.2229408	-3.9570947	-6.37400659	-2.42197741	-4.26882812	-6.0337901	-2.33003835	-3.97148297
CT55	-3.30904365	-8.284e-05	-0.59298333	-3.95143826	-0.00741628	-0.99588473	-3.51666595	-0.00450629	-0.73105249
CT83	-5.62173242	-0.14298878	-0.91349336	-6.19327324	-0.34581114	-1.41434549	-5.82432235	-0.2476066	-1.06442467
CTAG2	-5.53781175	-0.08046072	-0.85459562	-6.1106501	-0.28312972	-1.3272814	-5.75409705	-0.18893525	-0.99501073
CTPS2	-0.98051852	-1.008e-05	-0.21648123	-1.51027826	-0.07203001	-0.65372882	-1.10829027	-0.05933611	-0.4021875
CUL4B	-0.8504647	-1.023e-05	-0.12552604	-1.35621896	-0.05747802	-0.60837039	-0.96860505	-0.04640355	-0.37419889
CXCR3	-5.85487107	-1.97707914	-3.73595585	-6.44112582	-2.0971175	-4.25023467	-6.01062252	-2.07293502	-3.93345386
CXorf21	-4.44478275	-9.985e-05	-0.53648572	-5.02451891	-0.00548964	-0.99170906	-4.34745306	-0.00381506	-0.66789049
CXorf22	-0.93829614	-4.96e-06	-0.23566207	-1.45910181	-0.06107664	-0.59817106	-1.06320653	-0.05162186	-0.399694
CXorf23	-1.19857785	-0.05793629	-0.67520184	-1.77714608	-0.27439353	-0.97585019	-1.31897863	-0.21551762	-0.78410705
CXorf30	-2.05834253	-5.91e-06	-0.53227234	-2.58259177	-0.01716045	-0.97158647	-2.16471438	-0.00942877	-0.64725991
CXorf36	-5.80496054	-1.58457581	-2.51450837	-6.2784819	-1.82508681	-2.97549107	-5.94253568	-1.69935487	-2.49709342
CXorf38	-5.8282922	-1.809065	-2.43685092	-6.3163483	-2.03562297	-2.8960537	-5.9686548	-1.92654519	-2.53860494
CXorf40A	-5.33006338	-2.597e-05	-0.66973119	-5.89486846	-0.1493644	-1.13821026	-5.52059678	-0.04331595	-0.82518574
CXorf40B	-5.47543224	-0.02521011	-0.79095372	-6.06262901	-0.22011671	-1.23228436	-5.7048979	-0.13441151	-0.9303447
CXorf56	-1.32213375	-1.048e-05	-0.41354859	-1.90461328	-0.07943476	-0.82964159	-1.45299704	-0.05292521	-0.59901563
CXorf57	-3.8957598	-0.95060953	-1.64929944	-4.37259803	-1.3338701	-1.99203472	-4.05620714	-1.16013879	-1.74617497
CXorf58	-5.83452325	-2.1158671	-2.86254965	-6.39796498	-2.2207717	-3.30922892	-5.99347705	-2.21048066	-2.98500102
CXorf64	-5.53191523	-0.06612852	-0.84506914	-6.11135	-0.2723661	-1.31769873	-5.74967204	-0.17588791	-1.00824803
CXorf65	-2.05445373	-5.364e-05	-0.50045366	-2.64040021	-0.00808349	-0.89191433	-2.14888203	-0.00490333	-0.62269534
CXorf66	-5.41597985	-0.00163976	-0.76363133	-6.02834069	-0.20437433	-1.23746903	-5.65124153	-0.10910453	-0.91126966
CYBB	-0.92590741	-3.3e-07	-0.22261505	-1.44338094	-0.06487186	-0.58654666	-1.05070402	-0.05424638	-0.3094852
CYLC1	-1.30230162	-8.183e-05	-0.44974336	-1.86480849	-0.07829469	-0.83271694	-1.43366509	-0.05329091	-0.53842241
CYSLTR1	-5.86164116	-1.95188694	-3.80062805	-6.31769815	-2.15490558	-4.03994373	-5.99723464	-2.05487708	-3.86934778
