gene,flag
AC004076.9,wrong_model
AC004466.1,wrong_model
AC010646.3,wrong_model
AC040977.1,wrong_model
AHSP,wrong_model
AL050302.1,wrong_model
AL137026.1,wrong_model
AL645608.1,wrong_model
AMY1C,wrong_model
ANKRD20A1,wrong_model
APOC3,wrong_model
APOL3,wrong_model
ARMS2,wrong_model
ASCL3,wrong_model
BGLAP,wrong_model
BLOC1S3,wrong_model
BOD1L2,wrong_model
C10orf113,wrong_model
C10orf91,wrong_model
C11orf31,wrong_model
C11orf40,wrong_model
C12orf73,wrong_model
C15orf53,wrong_model
C17orf100,wrong_model
C17orf102,wrong_model
C18orf56,wrong_model
C1orf105,wrong_model
C1orf227,wrong_model
C1orf53,wrong_model
C20orf144,wrong_model
C2orf57,wrong_model
C5orf49,wrong_model
C7orf34,wrong_model
CALML4,wrong_model
CAPN8,wrong_model
CCL13,wrong_model
CCL26,wrong_model
CCL4,wrong_model
CCL4L2,wrong_model
CDRT15,wrong_model
CGB,wrong_model
CGB7,wrong_model
CH17-132F21.1,wrong_model
CLDN20,wrong_model
CORT,wrong_model
CSTB,wrong_model
CT62,wrong_model
CTD-2215E18.1,wrong_model
CTD-2267D19.3,wrong_model
CXCL2,wrong_model
CYYR1,wrong_model
DAPL1,wrong_model
DBI,wrong_model
DEFA4,wrong_model
DEFA6,wrong_model
DEFB105A,wrong_model
DEFB106A,wrong_model
DEFB108B,wrong_model
DEFB129,wrong_model
DEFB131,wrong_model
DEFB135,wrong_model
DEFB4A,wrong_model
DHRS4L2,wrong_model
DLEU7,wrong_model
DYDC2,wrong_model
FABP4,wrong_model
FAM136A,wrong_model
FAM187B,wrong_model
FAM71E1,wrong_model
FCGR2A,wrong_model
FLG,wrong_model
FRG1B,wrong_model
FUT2,wrong_model
GAB4,wrong_model
GCSAML,wrong_model
GIMAP4,wrong_model
GJB4,wrong_model
GNG13,wrong_model
GSC2,wrong_model
GSDMB,wrong_model
GSTT2,wrong_model
GUCA1C,wrong_model
HBB,wrong_model
HBM,wrong_model
HES4,wrong_model
HIST1H2AD,wrong_model
HIST1H2AH,wrong_model
HIST1H2BA,wrong_model
HIST1H2BE,wrong_model
HIST1H2BG,wrong_model
HIST1H2BL,wrong_model
HIST1H4A,wrong_model
HIST1H4B,wrong_model
HIST1H4D,wrong_model
HIST1H4E,wrong_model
HIST1H4H,wrong_model
HIST2H3D,wrong_model
HIST3H2BB,wrong_model
HLA-DPB1,wrong_model
HLA-DQB1,wrong_model
HLA-DRB1,wrong_model
HTN1,wrong_model
HTR3D,wrong_model
IAPP,wrong_model
IFI27L1,wrong_model
IFI27L2,wrong_model
IFNE,wrong_model
IGF2,wrong_model
IL8,wrong_model
KLK12,wrong_model
KNCN,wrong_model
KRTAP1-1,wrong_model
KRTAP10-6,wrong_model
KRTAP4-7,wrong_model
KRTAP4-8,wrong_model
KRTAP5-1,wrong_model
KRTAP5-10,wrong_model
KRTAP6-2,wrong_model
LAIR2,wrong_model
LCE2A,wrong_model
LCE2C,wrong_model
LCE3B,wrong_model
LCN10,wrong_model
LEUTX,wrong_model
LSMD1,wrong_model
LTC4S,wrong_model
LY6D,wrong_model
MESP1,wrong_model
MIF,wrong_model
MOB3C,wrong_model
MRPL54,wrong_model
MS4A12,wrong_model
MT1G,wrong_model
MT1H,wrong_model
MT1X,wrong_model
