Gene,Description,De novo PTV Cases,De novo PTV Controls,De novo MisA Cases,De novo MisA Controls,De novo MisB Cases,De novo MisB Controls,DBS PTV Cases,DBS PTV controls,SWE PTV Cases,SWE PTV Controls,Transmitted,Untransmitted,Q‑Val
ENSG00000100888,chromodomain helicase DNA binding protein 8,11,0,3,0,5,0,2,0,0,0,0,1,0
ENSG00000136531,sodium voltage-gated channel alpha subunit 2,9,0,2,1,11,0,3,0,0,0,0,0,0
ENSG00000197283,synaptic Ras GTPase activating protein 1,10,1,1,0,3,0,4,0,0,0,0,0,0
ENSG00000101126,activity dependent neuroprotector homeobox,9,0,0,0,0,0,2,0,1,0,1,0,8.521e-15
ENSG00000114861,forkhead box P1,6,0,0,0,3,0,0,1,0,0,0,0,1.7722e-12
ENSG00000143442,pogo transposable element derived with ZNF domain,6,0,1,1,0,0,4,0,2,0,0,0,1.0927e-10
ENSG00000049618,AT-rich interaction domain 1B,7,0,2,0,0,0,2,0,0,0,0,0,2.5781e-10
ENSG00000110066,lysine methyltransferase 5B,6,0,0,0,1,0,1,0,0,0,0,0,5.4835e-10
ENSG00000157540,dual specificity tyrosine phosphorylation regulated kinase 1A,6,0,0,0,0,0,3,0,0,0,1,2,8.2194e-10
ENSG00000157103,solute carrier family 6 member 1,0,0,1,0,7,0,1,0,0,0,0,0,1.9209e-9
ENSG00000273079,glutamate ionotropic receptor NMDA type subunit 2B,4,0,0,0,2,0,3,0,3,0,0,0,2.0376e-8
ENSG00000171862,phosphatase and tensin homolog,3,0,1,0,3,0,0,0,0,0,2,0,5.2571e-8
ENSG00000251322,SH3 and multiple ankyrin repeat domains 3,5,0,0,0,0,0,1,0,1,0,0,0,1.7211e-7
ENSG00000123066,mediator complex subunit 13L,5,0,0,0,0,0,0,0,0,0,0,0,0.0000018415
ENSG00000146830,GRB10 interacting GYF protein 1,4,0,0,0,0,0,4,1,2,0,0,0,0.0000035132
ENSG00000173575,chromodomain helicase DNA binding protein 2,4,0,1,0,2,0,1,0,1,0,0,0,0.0000054702
ENSG00000167522,ankyrin repeat domain 11,4,0,0,0,0,0,3,0,0,0,0,0,0.0000095452
ENSG00000145362,ankyrin 2,4,1,3,0,0,0,7,1,1,0,5,1,0.000014261
ENSG00000116539,ASH1 like histone lysine methyltransferase,5,0,0,0,1,0,1,0,0,0,0,0,0.000020361
ENSG00000146872,tousled like kinase 2,3,0,0,0,2,0,1,0,0,0,2,0,0.000027576
ENSG00000168036,catenin beta 1,3,0,1,0,0,0,2,0,0,0,0,0,0.000039849
ENSG00000177030,DEAF1 transcription factor,0,0,3,0,2,0,0,3,0,1,4,3,0.000069155
ENSG00000132510,lysine demethylase 6B,3,0,0,0,2,0,0,0,1,0,0,0,0.00010125
ENSG00000171587,DS cell adhesion molecule,4,0,0,1,0,0,0,0,1,0,1,0,0.00013466
ENSG00000168137,SET domain containing 5,3,0,0,1,0,0,2,0,1,0,0,0,0.00018404
ENSG00000184156,potassium voltage-gated channel subfamily Q member 3,0,0,0,0,4,0,0,0,0,0,1,0,0.00023649
ENSG00000182934,SRP receptor subunit alpha,2,0,2,0,0,0,2,0,0,0,2,2,0.00028816
ENSG00000117139,lysine demethylase 5B,3,2,1,0,2,1,7,7,2,1,10,1,0.00034543
