Gene,Description,Case PTV,Control PTV,Case Missense (MPC ≥ 3),Control Missense (MPC ≥ 3),Case Missense (2 ≤ MPC < 3),Control Missense (2 ≤ MPC < 3),De novo PTV,De Novo Missense (MPC ≥ 3),De Novo Missense (2 ≤ MPC < 3),P meta,Q meta,OR (Class I),OR (Class II)
ENSG00000099381,"SET domain containing 1A, histone lysine methyltransferase",15,3,3,4,11,10,3,,,2e-12,3.62e-8,10.3,4.42
ENSG00000055130,cullin 1,8,1,2,0,7,16,3,,,2.01e-9,0.0000182,44.2,1.76
ENSG00000130227,exportin 7,12,1,1,1,10,32,1,,,7.18e-9,0.0000434,28.1,1.25
ENSG00000038382,trio Rho guanine nucleotide exchange factor,18,16,0,0,24,102,2,,,6.35e-8,0.000288,5.02,0.944
ENSG00000006283,calcium voltage-gated channel subunit alpha1 G,10,13,8,4,55,134,,,1,4.57e-7,0.00154,4.25,1.68
ENSG00000105866,Sp4 transcription factor,13,6,3,3,0,2,1,,,5.08e-7,0.00154,7.59,0
ENSG00000125675,glutamate ionotropic receptor AMPA type subunit 3,5,0,3,2,10,24,1,1,,5.98e-7,0.00155,20.1,1.67
ENSG00000183454,glutamate ionotropic receptor NMDA type subunit 2A,9,2,3,0,13,22,,,,7.37e-7,0.00167,24.1,2.37
ENSG00000103657,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,28,32,0,0,2,8,,,,0.00000126,0.00254,3.51,1
ENSG00000023287,RB1 inducible coiled-coil 1,9,4,0,0,0,0,2,,,0.000002,0.00363,10,
ENSG00000138622,hyperpolarization activated cyclic nucleotide gated potassium channel 4,8,0,0,0,0,0,,,,0.00000254,0.00419,Infinity,
ENSG00000023516,A-kinase anchoring protein 11,17,13,0,0,0,0,,,,0.00000828,0.0125,5.25,
ENSG00000196646,zinc finger protein 136,23,25,0,0,0,0,,,,0.00000942,0.0131,3.7,
ENSG00000167978,serine/arginine repetitive matrix 2,16,9,0,0,0,0,,,,0.0000153,0.0194,7.14,
ENSG00000151623,nuclear receptor subfamily 3 group C member 2,7,3,0,0,8,11,,,,0.000016,0.0194,9.37,2.92
ENSG00000121741,zinc finger MYM-type containing 2,16,14,1,1,2,3,1,,,0.0000173,0.0196,4.82,2.68
ENSG00000048828,family with sequence similarity 120A,7,1,8,11,2,13,,,,0.0000222,0.0237,5.02,0.617
ENSG00000119906,SMC5-SMC6 complex localization factor 2,19,25,0,0,0,0,,,,0.000025,0.0245,3.05,
ENSG00000132510,lysine demethylase 6B,8,5,1,1,22,44,1,,,0.0000257,0.0245,6.69,2.01
ENSG00000197959,dynamin 3,11,13,1,0,0,11,,,,0.0000353,0.032,3.71,0
ENSG00000116539,ASH1 like histone lysine methyltransferase,9,2,0,0,10,67,,,,0.0000377,0.0325,18.1,0.599
ENSG00000118007,stromal antigen 1,6,3,0,0,14,18,,,,0.0000526,0.0434,8.03,3.12
ENSG00000168298,"H1.4 linker histone, cluster member",7,4,0,0,0,0,1,,,0.0000584,0.0447,7.03,
ENSG00000085377,prolyl endopeptidase,10,11,0,0,0,0,1,,,0.0000599,0.0447,3.65,
ENSG00000155495,MAGE family member C1,37,66,0,0,0,0,,,,0.0000618,0.0447,2.25,
ENSG00000187391,"membrane associated guanylate kinase, WW and PDZ domain containing 2",11,5,0,1,13,48,1,,,0.0000641,0.0447,8.03,1.09
ENSG00000134780,diacylglycerol lipase alpha,9,6,0,0,34,115,,,,0.0000687,0.0461,6.02,1.19
ENSG00000181927,olfactory receptor family 4 subfamily P member 4,10,4,0,0,0,0,,,,0.0000743,0.0467,10,
ENSG00000168065,solute carrier family 22 member 11,22,23,0,0,0,0,,,,0.0000756,0.0467,3.84,
ENSG00000101745,ankyrin repeat domain 12,23,26,0,0,0,0,,,,0.0000787,0.0467,3.55,
ENSG00000159164,synaptic vesicle glycoprotein 2A,10,7,1,3,8,17,,,1,0.0000821,0.0467,4.42,2.13
ENSG00000130741,eukaryotic translation initiation factor 2 subunit gamma,3,0,0,0,2,2,,,,0.0000823,0.0467,Infinity,4.01
ENSG00000186472,piccolo presynaptic cytomatrix protein,20,20,0,0,0,0,,,,0.00013,0.0706,4.02,
ENSG00000112320,sine oculis binding protein homolog,5,2,0,0,0,0,1,,,0.000132,0.0706,12,
ENSG00000168000,"BSCL2 lipid droplet biogenesis associated, seipin",14,15,0,0,0,0,,,,0.000222,0.115,3.75,
ENSG00000153234,nuclear receptor subfamily 4 group A member 2,4,0,0,3,1,0,,,,0.000255,0.128,5.35,Infinity
ENSG00000171044,XK related 6,5,0,0,0,14,54,,,2,0.00033,0.162,Infinity,1.04
ENSG00000054793,ATPase phospholipid transporting 9A (putative),15,11,0,0,11,36,,,,0.000372,0.175,5.48,1.23
ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase",7,3,1,0,21,67,,,,0.000375,0.175,10.7,1.26
